Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
1,100.0,0.05,2.0,2.0,0.0,0.49781,0.42058,6541.97553,10665.02787,0.3866,4203.0,2666.0,794.54553,5355.9119,5610.77231,5355.89328
2,100.0,0.05,3.0,2.0,0.0,0.59466,0.42058,6541.97553,10142.74466,0.35501,4203.0,2663.0,885.79553,4111.30371,5610.77231,5355.89328
3,100.0,0.05,4.0,2.0,0.0,0.59466,0.42058,6541.97553,10142.74466,0.35501,4203.0,2666.0,886.01,4111.30371,5610.77231,5355.89328
4,100.0,0.05,5.0,2.0,0.0,0.52034,0.42058,6541.97553,11166.03189,0.41412,4203.0,2671.0,944.54553,5355.9119,5610.77231,5355.89328
5,100.0,0.05,6.0,2.0,0.0,0.60915,0.42058,6541.97553,10518.86405,0.37807,4203.0,2671.0,0.0,4111.30371,5610.77231,5355.89328
0,100.0,0.05,1.0,2.0,0.0,0.57943,0.42756,6498.88603,9901.35892,0.34364,4203.0,3669.0,847.41661,4164.22737,5770.80288,5444.15096
1,100.0,0.05,2.0,2.0,0.0,0.48662,0.42756,6498.88603,10604.55858,0.38716,4203.0,3672.0,795.21661,5444.1394,5770.80288,5444.15096
2,100.0,0.05,3.0,2.0,0.0,0.58875,0.42756,6498.88603,10125.79003,0.35818,4203.0,3670.0,886.46661,4164.22737,5770.80288,5444.15096
3,100.0,0.05,4.0,2.0,0.0,0.58875,0.42756,6498.88603,10125.79003,0.35818,4203.0,3668.0,886.68108,4164.22737,5770.80288,5444.15096
4,100.0,0.05,5.0,2.0,0.0,0.5115,0.42756,6498.88603,11144.57931,0.41686,4203.0,3662.0,945.21661,5444.1394,5770.80288,5444.15096
5,100.0,0.05,6.0,2.0,0.0,0.6021,0.42756,6498.88603,10465.5324,0.37902,4203.0,3676.0,0.0,4164.22737,5770.80288,5444.15096
0,100.0,0.05,1.0,3.0,0.0,0.56837,0.42606,6646.86718,10108.14189,0.34242,4203.0,4408.0,838.20795,4362.94521,6245.64271,5465.35104
1,100.0,0.05,2.0,3.0,0.0,0.4986,0.42606,6646.86718,10900.24806,0.39021,4203.0,2518.0,988.90795,5465.3554,6245.64271,5465.35104
2,100.0,0.05,3.0,3.0,0.0,0.57683,0.42606,6646.86718,10310.1076,0.35531,4203.0,4412.0,877.15795,4362.94521,6245.64271,5465.35104
3,100.0,0.05,4.0,3.0,0.0,0.5776,0.42606,6646.86718,10328.8576,0.35648,4203.0,4407.0,877.48567,4362.94521,6245.64271,5465.35104
4,100.0,0.05,5.0,3.0,0.0,0.48783,0.42606,6646.86718,10671.0348,0.37711,4203.0,4403.0,838.90795,5465.3554,6245.64271,5465.35104
5,100.0,0.05,6.0,4.0,0.0,0.59537,0.42606,6646.86718,10782.5336,0.38355,4203.0,4412.0,0.0,4362.94521,6245.64271,5465.35104
0,100.0,0.05,1.0,2.0,0.0,0.57596,0.43468,6449.58939,10009.07124,0.35563,4203.0,3604.0,849.58557,4244.27571,5593.27875,4891.33318
1,100.0,0.05,2.0,2.0,0.0,0.5443,0.43468,6449.58939,10733.57124,0.39912,4203.0,3618.0,797.38557,4891.2659,5593.27875,4891.33318
2,100.0,0.05,3.0,2.0,0.0,0.58424,0.43468,6449.58939,10208.57124,0.36822,4203.0,3608.0,888.63557,4244.27571,5593.27875,4891.33318
3,100.0,0.05,4.0,2.0,0.0,0.58424,0.43468,6449.58939,10208.57124,0.36822,4203.0,3608.0,888.85004,4244.27571,5593.27875,4891.33318
4,100.0,0.05,5.0,2.0,0.0,0.5642,0.43468,6449.58939,11223.57124,0.42535,4203.0,3611.0,947.38557,4891.2659,5593.27875,4891.33318
5,100.0,0.05,6.0,2.0,0.0,0.59741,0.43468,6449.58939,10542.30077,0.38822,4203.0,3606.0,0.0,4244.27571,5593.27875,4891.33318
