Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
4,1500.0,0.05,5.0,2.0,0.0,0.46126,0.74033,3416.6918,10285.39549,0.46126,4204.0,4205.0,53.22038,5541.17637,5541.83534,5127.68678
5,1500.0,0.05,6.0,2.0,0.0,0.27152,0.74033,3416.6918,7606.50429,0.27152,4204.0,4207.0,4.90879,5541.17637,5541.83534,5127.68678
0,1500.0,0.05,1.0,2.0,0.0,0.46763,0.74047,3420.90414,10583.93322,0.46763,4203.0,4213.0,835.91716,5634.56643,5633.90338,5139.47498
1,1500.0,0.05,2.0,2.0,0.0,0.45738,0.74047,3420.90414,10383.93322,0.45738,4203.0,4211.0,53.19787,5634.56643,5633.90338,5139.47498
2,1500.0,0.05,3.0,2.0,0.0,0.46763,0.74047,3420.90414,10583.93322,0.46763,4203.0,4212.0,1421.66716,5634.56643,5633.90338,5139.47498
3,1500.0,0.05,4.0,2.0,0.0,0.46763,0.74047,3420.90414,10583.93322,0.46763,4203.0,4213.0,1424.88415,5634.56643,5633.90338,5139.47498
4,1500.0,0.05,5.0,2.0,0.0,0.4521,0.74047,3420.90414,10283.93322,0.4521,4203.0,4212.0,53.23295,5634.56643,5633.90338,5139.47498
5,1500.0,0.05,6.0,2.0,0.0,0.28445,0.74047,3420.90414,7874.41235,0.28445,4203.0,4212.0,0.13442,5634.56643,5633.90338,5139.47498
0,1500.0,0.05,1.0,2.0,0.0,0.4697,0.79062,2780.76188,10485.63679,0.4697,4204.0,4208.0,835.97937,5560.5442,5561.11493,5288.58442
1,1500.0,0.05,2.0,2.0,0.0,0.45939,0.79062,2780.76188,10285.63679,0.45939,4204.0,4208.0,53.26007,5560.5442,5561.11493,5288.58442
2,1500.0,0.05,3.0,2.0,0.0,0.4697,0.79062,2780.76188,10485.63679,0.4697,4204.0,4206.0,1421.72937,5560.5442,5561.11493,5288.58442
3,1500.0,0.05,4.0,2.0,0.0,0.4697,0.79062,2780.76188,10485.63679,0.4697,4204.0,4206.0,1424.94636,5560.5442,5561.11493,5288.58442
4,1500.0,0.05,5.0,2.0,0.0,0.45408,0.79062,2780.76188,10185.63679,0.45408,4204.0,4206.0,53.29516,5560.5442,5561.11493,5288.58442
5,1500.0,0.05,6.0,2.0,0.0,0.29011,0.79062,2780.76188,7832.95004,0.29011,4204.0,4208.0,0.0,5560.5442,5561.11493,5288.58442
0,1500.0,0.05,1.0,2.0,0.0,0.46582,0.77684,2936.2213,10377.09223,0.46582,4204.0,4208.0,836.03202,5543.2615,5543.24167,5124.6007
1,1500.0,0.05,2.0,2.0,0.0,0.45532,0.77684,2936.2213,10177.09223,0.45532,4204.0,4207.0,53.31272,5543.2615,5543.24167,5124.6007
2,1500.0,0.05,3.0,2.0,0.0,0.46582,0.77684,2936.2213,10377.09223,0.46582,4204.0,4205.0,1421.78202,5543.2615,5543.24167,5124.6007
3,1500.0,0.05,4.0,2.0,0.0,0.46582,0.77684,2936.2213,10377.09223,0.46582,4204.0,4209.0,1424.99901,5543.2615,5543.24167,5124.6007
4,1500.0,0.05,5.0,2.0,0.0,0.44991,0.77684,2936.2213,10077.09223,0.44991,4204.0,4206.0,53.34781,5543.2615,5543.24167,5124.6007
5,1500.0,0.05,6.0,2.0,0.0,0.28058,0.77684,2936.2213,7705.15688,0.28058,4204.0,4206.0,2.1658,5543.2615,5543.24167,5124.6007
0,1500.0,0.05,1.0,2.0,0.0,0.47023,0.74001,3420.57,10508.10504,0.47023,4204.0,4213.0,835.9428,5566.9182,5562.93442,5206.68872
1,1500.0,0.05,2.0,2.0,0.0,0.45995,0.74001,3420.57,10308.10504,0.45995,4204.0,4214.0,53.2235,5566.9182,5562.93442,5206.68872
2,1500.0,0.05,3.0,2.0,0.0,0.47023,0.74001,3420.57,10508.10504,0.47023,4204.0,4205.0,1421.6928,5566.9182,5562.93442,5206.68872
3,1500.0,0.05,4.0,2.0,0.0,0.47023,0.74001,3420.57,10508.10504,0.47023,4204.0,4212.0,1424.90979,5566.9182,5562.93442,5206.68872
4,1500.0,0.05,5.0,2.0,0.0,0.45466,0.74001,3420.57,10208.10504,0.45466,4204.0,4211.0,53.25859,5566.9182,5562.93442,5206.68872
5,1500.0,0.05,6.0,2.0,0.0,0.28632,0.74001,3420.57,7800.34971,0.28632,4204.0,4228.0,0.31962,5566.9182,5562.93442,5206.68872
0,1500.0,0.05,1.0,2.0,0.0,0.46434,0.75055,3283.67582,10337.89607,0.46434,4204.0,4206.0,836.06022,5537.57207,5536.8968,5079.06587
1,1500.0,0.05,2.0,2.0,0.0,0.45378,0.75055,3283.67582,10137.89607,0.45378,4204.0,4206.0,53.34092,5537.57207,5536.8968,5079.06587
2,1500.0,0.05,3.0,2.0,0.0,0.46434,0.75055,3283.67582,10337.89607,0.46434,4204.0,4205.0,1421.81022,5537.57207,5536.8968,5079.06587
3,1500.0,0.05,4.0,2.0,0.0,0.46434,0.75055,3283.67582,10337.89607,0.46434,4204.0,4206.0,1425.02721,5537.57207,5536.8968,5079.06587
4,1500.0,0.05,5.0,2.0,0.0,0.44833,0.75055,3283.67582,10037.89607,0.44833,4204.0,4207.0,53.37601,5537.57207,5536.8968,5079.06587
5,1500.0,0.05,6.0,2.0,0.0,0.31582,0.75055,3283.67582,8093.7053,0.31582,4204.0,4206.0,0.0,5537.57207,5536.8968,5079.06587
