 ,value
scen655,0.011364
scen656,0.011364
scen657,0.011364
scen658,0.011364
scen659,0.011364
scen660,0.011364
scen661,0.011364
scen662,0.011364
scen663,0.011364
scen664,0.011364
scen665,0.011364
scen666,0.011364
scen667,0.011364
scen668,0.011364
scen669,0.011364
scen670,0.011364
scen671,0.011364
scen672,0.011364
scen673,0.011364
scen674,0.011364
scen675,0.011364
scen676,0.011364
scen677,0.011364
scen678,0.011364
scen679,0.011364
scen680,0.011364
scen681,0.011364
scen682,0.011364
scen683,0.011364
scen684,0.011364
scen685,0.011364
scen686,0.011364
scen687,0.011364
scen688,0.011364
scen689,0.011364
scen690,0.011364
scen691,0.011364
scen692,0.011364
scen693,0.011364
scen694,0.011364
scen695,0.011364
scen696,0.011364
scen697,0.011364
scen698,0.011364
scen699,0.011364
scen700,0.011364
scen701,0.011364
scen702,0.011364
scen703,0.011364
scen704,0.011364
scen705,0.011364
scen706,0.011364
scen707,0.011364
scen708,0.011364
scen709,0.010309
scen710,0.010309
scen711,0.010309
scen712,0.010309
scen713,0.010309
scen714,0.010309
scen715,0.010309
scen716,0.010309
scen717,0.010309
scen718,0.010309
scen719,0.010309
scen720,0.010309
scen721,0.010309
scen722,0.010309
scen723,0.010309
scen724,0.010309
scen725,0.010309
scen726,0.010309
scen727,0.010309
scen728,0.010309
scen729,0.010309
scen730,0.010309
scen731,0.010309
scen732,0.010309
scen733,0.010309
scen734,0.010309
scen735,0.010309
scen736,0.010309
scen737,0.010309
scen738,0.010309
scen739,0.010309
scen740,0.010309
scen741,0.010309
scen742,0.010309
scen743,0.010309
scen744,0.010309
scen745,0.010309
scen746,0.010309
scen747,0.010309
scen748,0.010309
scen749,0.010309
scen750,0.010309
scen751,0.010309
scen752,0.010309
scen753,0.010309
scen754,0.010309
scen755,0.010309
scen756,0.010309
scen757,0.010309
scen758,0.010309
scen759,0.010309
scen760,0.010309
scen761,0.010309
scen762,0.010309
scen763,0.010309
scen764,0.010309
scen765,0.010309
scen766,0.010309
scen767,0.010309
scen768,0.010309
scen769,0.010309
scen770,0.010309
scen771,0.010309
scen772,0.010309
scen773,0.010309
scen774,0.010309
scen775,0.010309
scen776,0.010309
scen777,0.010309
scen778,0.010309
scen779,0.010309
scen780,0.010309
scen781,0.010309
scen782,0.010309
scen783,0.010309
scen784,0.010309
scen785,0.010309
scen786,0.010309
scen787,0.010309
scen788,0.010309
scen789,0.010309
scen790,0.010309
scen791,0.010309
scen792,0.010309
scen793,0.010309
scen794,0.010309
scen795,0.010309
scen796,0.010309
scen797,0.010309
scen798,0.010309
scen799,0.010309
scen800,0.010309
scen801,0.010309
scen802,0.010309
scen803,0.010309
scen804,0.010309
scen805,0.010309
scen806,0.009346
scen807,0.009346
scen808,0.009346
scen809,0.009346
