 ,value
scen661,0.0014
scen662,0.0016
scen663,0.0012
scen664,0.0008
scen665,0.001
scen666,0.001
scen667,0.0012
scen668,0.0018
scen669,0.0002
scen670,0.0014
scen671,0.0012
scen672,0.0008
scen673,0.0012
scen674,0.0014
scen675,0.0014
scen676,0.0016
scen677,0.0014
scen678,0.001
scen679,0.002
scen680,0.0022
scen681,0.0008
scen682,0.0008
scen683,0.0006
scen684,0.0012
scen685,0.002
scen686,0.0018
scen687,0.0012
scen688,0.0012
scen689,0.001
scen690,0.001
scen691,0.0008
scen692,0.0022
scen693,0.0012
scen694,0.0008
scen695,0.0014
scen696,0.0006
scen697,0.0012
scen698,0.0006
scen699,0.0008
scen700,0.0004
scen701,0.0012
scen702,0.001
scen703,0.0006
scen704,0.0006
scen705,0.0004
scen706,0.001
scen707,0.0006
scen708,0.0004
scen709,0.001
scen710,0.0016
scen711,0.0024
scen712,0.0022
scen713,0.0018
scen714,0.001
scen715,0.0012
scen716,0.003
scen717,0.0016
scen718,0.002
scen719,0.001
scen720,0.0012
scen721,0.0016
scen722,0.0018
scen723,0.0014
scen724,0.002
scen725,0.0024
scen726,0.0012
scen727,0.0012
scen728,0.0014
scen729,0.003
scen730,0.0008
scen731,0.0012
scen732,0.002
scen733,0.0012
scen734,0.0016
scen735,0.0014
scen736,0.0012
scen737,0.002
scen738,0.0022
scen739,0.0008
scen740,0.0014
scen741,0.0012
scen742,0.0014
scen743,0.001
scen744,0.0016
scen745,0.0014
scen746,0.0012
scen747,0.0012
scen748,0.0012
scen749,0.0018
scen750,0.0016
scen751,0.0012
scen752,0.0012
scen753,0.001
scen754,0.001
scen755,0.001
scen756,0.0012
scen757,0.0002
scen758,0.0014
scen759,0.0012
scen760,0.0008
scen761,0.0012
scen762,0.0014
scen763,0.0014
scen764,0.0016
scen765,0.0014
scen766,0.001
scen767,0.0006
scen768,0.0012
scen769,0.0008
scen770,0.0006
scen771,0.0006
scen772,0.0012
scen773,0.002
scen774,0.0018
scen775,0.001
