Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,Heuristic Time
1500.0,0.01,6.0,6.0,0.0,0.11838,0.11579,236.11117,266.79806,246.65651,0.11502,4211.0,46521.0,0.16355,235.21448,0.0,1.0,0.53452,11.0,,
1500.0,0.01,1.0,10.0,0.0,0.11573,0.11302,237.31426,267.06099,248.07922,0.11139,4211.0,5381.0,791.7,236.15453,0.0,1.0,0.50457,11.0,,
1500.0,0.01,2.0,10.0,0.0,0.11573,0.11302,237.31426,267.06099,248.07922,0.11139,4211.0,5878.0,200.0,236.15453,0.0,1.0,0.50457,11.0,,
1500.0,0.01,3.0,10.0,0.0,0.11573,0.11302,237.31426,267.06099,248.07922,0.11139,4211.0,5380.0,1067.85552,236.15453,0.0,1.0,0.50457,11.0,,
1500.0,0.01,4.0,10.0,0.0,0.11573,0.11302,237.31426,267.06099,248.07922,0.11139,4211.0,5377.0,1000.3452,236.15453,0.0,1.0,0.50457,11.0,,
1500.0,0.01,5.0,10.0,0.0,0.11573,0.11302,237.31426,267.06099,248.07922,0.11139,4211.0,6356.0,0.0,236.15453,0.0,1.0,0.50457,11.0,,
1500.0,0.01,6.0,8.0,0.0,0.11573,0.11302,237.31426,267.06099,248.07922,0.11139,4211.0,43998.0,0.1534,236.15453,0.0,1.0,0.50457,11.0,,
1500.0,0.01,1.0,10.0,0.0,0.09218,0.09204,242.01017,266.55767,249.22137,0.09209,4210.0,5394.0,791.7,241.98581,0.0,1.0,0.5151,3.0,,
1500.0,0.01,2.0,10.0,0.0,0.09218,0.09204,242.01017,266.55767,249.22137,0.09209,4210.0,6111.0,200.0,241.98581,0.0,1.0,0.5151,3.0,,
1500.0,0.01,3.0,10.0,0.0,0.09218,0.09204,242.01017,266.55767,249.22137,0.09209,4210.0,5389.0,1067.85552,241.98581,0.0,1.0,0.5151,3.0,,
1500.0,0.01,4.0,10.0,0.0,0.09218,0.09204,242.01017,266.55767,249.22137,0.09209,4210.0,5389.0,1000.3452,241.98581,0.0,1.0,0.5151,3.0,,
1500.0,0.01,5.0,10.0,0.0,0.09218,0.09204,242.01017,266.55767,249.22137,0.09209,4210.0,6470.0,0.0,241.98581,0.0,1.0,0.5151,3.0,,
1500.0,0.01,6.0,8.0,0.0,0.09218,0.09204,242.01017,266.55767,249.22137,0.09209,4210.0,47231.0,0.14839,241.98581,0.0,1.0,0.5151,3.0,,
1500.0,0.01,1.0,10.0,0.0,0.11005,0.11549,236.53405,266.29451,243.47599,0.11005,4211.0,5384.0,791.7,236.98925,0.0,1.0,0.51814,12.0,,
1500.0,0.01,2.0,10.0,0.0,0.11005,0.11549,236.53405,266.29451,243.47599,0.11005,4211.0,5914.0,200.0,236.98925,0.0,1.0,0.51814,12.0,,
1500.0,0.01,3.0,10.0,0.0,0.11005,0.11549,236.53405,266.29451,243.47599,0.11005,4211.0,5385.0,1067.85552,236.98925,0.0,1.0,0.51814,12.0,,
1500.0,0.01,4.0,10.0,0.0,0.11005,0.11549,236.53405,266.29451,243.47599,0.11005,4211.0,5383.0,1000.3452,236.98925,0.0,1.0,0.51814,12.0,,
1500.0,0.01,5.0,10.0,0.0,0.11005,0.11549,236.53405,266.29451,243.47599,0.11005,4211.0,6401.0,0.0,236.98925,0.0,1.0,0.51814,12.0,,
1500.0,0.01,6.0,6.0,0.0,0.09584,0.11549,236.53405,262.10861,262.10861,0.09584,4211.0,42479.0,0.78101,236.98925,0.0,6.0,1.74714,13.0,,
1500.0,0.03,1.0,7.0,0.0,0.15769,0.17372,230.35543,279.51668,250.17413,0.15769,4210.0,2408.0,713.4,235.43884,0.0,1.0,0.23041,32.0,,
1500.0,0.03,2.0,2.0,0.0,0.15769,0.17372,230.35543,279.51668,250.17413,0.15769,4210.0,2411.0,200.0,235.43884,0.0,1.0,0.23041,32.0,,
1500.0,0.03,3.0,6.0,0.0,0.15769,0.17372,230.35543,279.51668,250.17413,0.15769,4210.0,2408.0,1005.58929,235.43884,0.0,1.0,0.23041,32.0,,
1500.0,0.03,4.0,6.0,0.0,0.15769,0.17372,230.35543,279.51668,250.17413,0.15769,4210.0,2402.0,941.86382,235.43884,0.0,1.0,0.23041,32.0,,
1500.0,0.03,5.0,2.0,0.0,0.15769,0.17372,230.35543,279.51668,250.17413,0.15769,4210.0,2417.0,150.0,235.43884,0.0,1.0,0.23041,32.0,,
1500.0,0.03,6.0,2.0,0.0,0.15769,0.17372,230.35543,279.51668,250.17413,0.15769,4210.0,2457.0,0.39311,235.43884,0.0,1.0,0.23041,32.0,,
1500.0,0.03,1.0,2.0,0.0,0.03851,0.14422,238.81087,,,0.03851,4211.0,2338.0,843.9,241.9413,,,,,251.63168,
1500.0,0.03,2.0,2.0,0.0,0.03851,0.14422,238.81087,,,0.03851,4211.0,2343.0,0.13746,241.9413,,,,,251.63168,
1500.0,0.03,3.0,2.0,0.0,0.03851,0.14422,238.81087,,,0.03851,4211.0,2339.0,1091.25,241.9413,,,,,251.63168,
1500.0,0.03,4.0,2.0,0.0,0.03851,0.14422,238.81087,,,0.03851,4211.0,2335.0,1028.84037,241.9413,,,,,251.63168,
1500.0,0.03,5.0,2.0,0.0,0.03851,0.14422,238.81087,,,0.03851,4211.0,2338.0,0.10309,241.9413,,,,,251.63168,
1500.0,0.03,6.0,2.0,0.0,0.03851,0.14422,238.81087,,,0.03851,4211.0,2337.0,0.38037,241.9413,,,,,251.63168,52.0
1500.0,0.03,1.0,2.0,0.0,0.07797,0.13967,240.5247,,,0.06886,4211.0,2367.0,843.9,238.17327,,,,,258.31309,
1500.0,0.03,2.0,2.0,0.0,0.07797,0.13967,240.5247,,,0.06886,4211.0,2362.0,0.13746,238.17327,,,,,258.31309,
1500.0,0.03,3.0,2.0,0.0,0.07797,0.13967,240.5247,,,0.06886,4211.0,2365.0,1091.25,238.17327,,,,,258.31309,
1500.0,0.03,4.0,2.0,0.0,0.07797,0.13967,240.5247,,,0.06886,4211.0,2364.0,1028.84037,238.17327,,,,,258.31309,
1500.0,0.03,5.0,2.0,0.0,0.07797,0.13967,240.5247,,,0.06886,4211.0,2363.0,0.10309,238.17327,,,,,258.31309,
1500.0,0.03,6.0,2.0,0.0,0.07797,0.13967,240.5247,,,0.06886,4211.0,2359.0,0.38812,238.17327,,,,,258.31309,49.0
1500.0,0.03,1.0,2.0,0.0,0.02678,0.12367,244.67527,,,0.02678,4210.0,2351.0,843.9,246.98829,,,,,253.78501,
1500.0,0.03,2.0,2.0,0.0,0.02678,0.12367,244.67527,,,0.02678,4210.0,2355.0,0.13746,246.98829,,,,,253.78501,
1500.0,0.03,3.0,2.0,0.0,0.02678,0.12367,244.67527,,,0.02678,4210.0,2355.0,1091.25,246.98829,,,,,253.78501,
1500.0,0.03,4.0,2.0,0.0,0.02678,0.12367,244.67527,,,0.02678,4210.0,2360.0,1028.84037,246.98829,,,,,253.78501,
1500.0,0.03,5.0,2.0,0.0,0.02678,0.12367,244.67527,,,0.02678,4210.0,2352.0,0.10309,246.98829,,,,,253.78501,
1500.0,0.03,6.0,2.0,0.0,0.02678,0.12367,244.67527,,,0.02678,4210.0,2350.0,0.37655,246.98829,,,,,253.78501,54.0
1500.0,0.03,1.0,1.0,1.0,0.0,0.1812,228.29304,,,0.0,4211.0,2108.0,0.22789,240.35181,,,,,240.35181,
1500.0,0.03,2.0,1.0,1.0,0.0,0.1812,228.29304,,,0.0,4211.0,2108.0,0.22789,240.35181,,,,,240.35181,
1500.0,0.03,3.0,1.0,1.0,0.0,0.1812,228.29304,,,0.0,4211.0,2108.0,0.22789,240.35181,,,,,240.35181,
1500.0,0.03,4.0,1.0,1.0,0.0,0.1812,228.29304,,,0.0,4211.0,2109.0,0.22789,240.35181,,,,,240.35181,
1500.0,0.03,5.0,1.0,1.0,0.0,0.1812,228.29304,,,0.0,4211.0,2109.0,0.22789,240.35181,,,,,240.35181,
1500.0,0.03,6.0,1.0,1.0,0.0,0.1812,228.29304,,,0.0,4211.0,2109.0,0.22789,240.35181,,,,,240.35181,86.0
1500.0,0.03,1.0,2.0,0.0,0.05035,0.16327,235.21122,,,0.05035,4211.0,2363.0,843.9,237.75197,,,,,250.35779,
1500.0,0.03,2.0,2.0,0.0,0.05035,0.16327,235.21122,,,0.05035,4211.0,2369.0,0.13746,237.75197,,,,,250.35779,
1500.0,0.03,3.0,2.0,0.0,0.05035,0.16327,235.21122,,,0.05035,4211.0,2364.0,1091.25,237.75197,,,,,250.35779,
1500.0,0.03,4.0,2.0,0.0,0.05035,0.16327,235.21122,,,0.05035,4211.0,2368.0,1028.84037,237.75197,,,,,250.35779,
