Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Heuristic Time
1500.0,0.03,4.0,2.0,0.0,0.046,0.15653,235.03115,253.39696,0.046,4210.0,2462.0,1028.84037,241.74116,
1500.0,0.03,5.0,2.0,0.0,0.046,0.15653,235.03115,253.39696,0.046,4210.0,2467.0,0.10309,241.74116,
1500.0,0.03,6.0,2.0,0.0,0.046,0.15653,235.03115,253.39696,0.046,4210.0,2465.0,0.38148,241.74116,68.0
1500.0,0.03,1.0,2.0,0.0,0.04595,0.15556,235.79945,248.02886,0.04595,4211.0,2439.0,843.9,236.63168,
1500.0,0.03,2.0,2.0,0.0,0.04595,0.15556,235.79945,248.02886,0.04595,4211.0,2429.0,0.13746,236.63168,
1500.0,0.03,3.0,2.0,0.0,0.04595,0.15556,235.79945,248.02886,0.04595,4211.0,2436.0,1091.25,236.63168,
1500.0,0.03,4.0,2.0,0.0,0.04595,0.15556,235.79945,248.02886,0.04595,4211.0,2436.0,1028.84037,236.63168,
1500.0,0.03,5.0,2.0,0.0,0.04595,0.15556,235.79945,248.02886,0.04595,4211.0,2434.0,0.10309,236.63168,
1500.0,0.03,6.0,2.0,0.0,0.04595,0.15556,235.79945,248.02886,0.04595,4211.0,2430.0,0.38948,236.63168,55.0
1500.0,0.03,1.0,2.0,0.0,0.03651,0.16723,233.43091,249.50615,0.03651,4211.0,2457.0,843.9,240.39694,
1500.0,0.03,2.0,2.0,0.0,0.03651,0.16723,233.43091,249.50615,0.03651,4211.0,2430.0,0.13746,240.39694,
1500.0,0.03,3.0,2.0,0.0,0.03651,0.16723,233.43091,249.50615,0.03651,4211.0,2447.0,1091.25,240.39694,
1500.0,0.03,4.0,2.0,0.0,0.03651,0.16723,233.43091,249.50615,0.03651,4211.0,2443.0,1028.84037,240.39694,
1500.0,0.03,5.0,2.0,0.0,0.03651,0.16723,233.43091,249.50615,0.03651,4211.0,2448.0,0.10309,240.39694,
1500.0,0.03,6.0,2.0,0.0,0.03651,0.16723,233.43091,249.50615,0.03651,4211.0,2470.0,0.38441,240.39694,63.0
1500.0,0.03,1.0,2.0,0.0,0.00892,0.17873,230.23914,238.5276,0.00892,4212.0,2466.0,843.9,236.39969,
1500.0,0.03,2.0,2.0,0.0,0.00892,0.17873,230.23914,238.5276,0.00892,4212.0,2475.0,0.13746,236.39969,
1500.0,0.03,3.0,2.0,0.0,0.00892,0.17873,230.23914,238.5276,0.00892,4212.0,2460.0,1091.25,236.39969,
1500.0,0.03,4.0,2.0,0.0,0.00892,0.17873,230.23914,238.5276,0.00892,4212.0,2453.0,1028.84037,236.39969,
1500.0,0.03,5.0,2.0,0.0,0.00892,0.17873,230.23914,238.5276,0.00892,4212.0,2459.0,0.10309,236.39969,
1500.0,0.03,6.0,2.0,1.0,0.0,0.17873,230.23914,236.39969,0.0,4212.0,4214.0,0.13708,236.39969,48.0
1500.0,0.03,1.0,2.0,0.0,0.02631,0.15297,236.55075,248.81654,0.02631,4211.0,2422.0,843.9,242.27095,
1500.0,0.03,2.0,2.0,0.0,0.02631,0.15297,236.55075,248.81654,0.02631,4211.0,2427.0,0.13746,242.27095,
1500.0,0.03,3.0,2.0,0.0,0.02631,0.15297,236.55075,248.81654,0.02631,4211.0,2418.0,1091.25,242.27095,
1500.0,0.03,4.0,2.0,0.0,0.02631,0.15297,236.55075,248.81654,0.02631,4211.0,2416.0,1028.84037,242.27095,
1500.0,0.03,5.0,2.0,0.0,0.02631,0.15297,236.55075,248.81654,0.02631,4211.0,2424.0,0.10309,242.27095,
1500.0,0.03,6.0,2.0,0.0,0.02631,0.15297,236.55075,248.81654,0.02631,4211.0,2422.0,0.38191,242.27095,50.0
1500.0,0.03,1.0,2.0,0.0,0.01066,0.16465,233.82299,243.82294,0.01066,4212.0,2430.0,843.9,241.22457,
1500.0,0.03,2.0,2.0,0.0,0.01066,0.16465,233.82299,243.82294,0.01066,4212.0,2417.0,0.13746,241.22457,
1500.0,0.03,3.0,2.0,0.0,0.01236,0.16465,233.82299,244.2425,0.01236,4212.0,2426.0,1091.25,241.22457,
1500.0,0.03,4.0,2.0,0.0,0.01066,0.16465,233.82299,243.82294,0.01066,4212.0,2418.0,1028.84037,241.22457,
1500.0,0.03,5.0,2.0,0.0,0.01066,0.16465,233.82299,243.82294,0.01066,4212.0,2426.0,0.10309,241.22457,
1500.0,0.03,6.0,2.0,1.0,0.0,0.16465,233.82299,241.22457,0.0,4212.0,4215.0,0.0791,241.22457,68.0
1500.0,0.05,1.0,2.0,0.0,0.03399,0.18701,233.60351,243.92056,0.03399,4210.0,2476.0,826.5,235.62918,
1500.0,0.05,2.0,2.0,0.0,0.03399,0.18701,233.60351,243.92056,0.03399,4210.0,2473.0,0.14035,235.62918,
1500.0,0.05,3.0,2.0,0.0,0.03399,0.18701,233.60351,243.92056,0.03399,4210.0,2475.0,1068.75,235.62918,
1500.0,0.05,4.0,2.0,0.0,0.03399,0.18701,233.60351,243.92056,0.03399,4210.0,2464.0,1007.62716,235.62918,
1500.0,0.05,5.0,2.0,0.0,0.03399,0.18701,233.60351,243.92056,0.03399,4210.0,2468.0,0.10526,235.62918,
1500.0,0.05,6.0,2.0,0.0,0.03399,0.18701,233.60351,243.92056,0.03399,4210.0,2469.0,0.41576,235.62918,68.0
1500.0,0.05,1.0,2.0,0.0,0.02581,0.16945,238.63722,252.43941,0.02581,4212.0,2501.0,826.5,245.92414,
1500.0,0.05,2.0,2.0,0.0,0.02581,0.16945,238.63722,252.43941,0.02581,4212.0,2500.0,0.14035,245.92414,
1500.0,0.05,3.0,2.0,0.0,0.02581,0.16945,238.63722,252.43941,0.02581,4212.0,2496.0,1068.75,245.92414,
1500.0,0.05,4.0,2.0,0.0,0.02581,0.16945,238.63722,252.43941,0.02581,4212.0,2498.0,1007.62716,245.92414,
1500.0,0.05,5.0,2.0,0.0,0.02581,0.16945,238.63722,252.43941,0.02581,4212.0,2499.0,0.10526,245.92414,
1500.0,0.05,6.0,2.0,0.0,0.02581,0.16945,238.63722,252.43941,0.02581,4212.0,2472.0,0.39075,245.92414,60.0
1500.0,0.05,1.0,2.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2382.0,826.5,238.35318,
1500.0,0.05,2.0,2.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2381.0,0.14035,238.35318,
1500.0,0.05,3.0,2.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2383.0,1068.75,238.35318,
1500.0,0.05,4.0,2.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2392.0,1007.62716,238.35318,
1500.0,0.05,5.0,2.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2385.0,0.10526,238.35318,
1500.0,0.05,6.0,2.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2390.0,0.41218,238.35318,81.0
1500.0,0.05,1.0,2.0,0.0,0.01764,0.15933,241.96615,255.52835,0.01764,4210.0,2454.0,826.5,251.01971,
1500.0,0.05,2.0,2.0,0.0,0.01764,0.15933,241.96615,255.52835,0.01764,4210.0,2454.0,0.14035,251.01971,
1500.0,0.05,3.0,2.0,0.0,0.01764,0.15933,241.96615,255.52835,0.01764,4210.0,2457.0,1068.75,251.01971,
1500.0,0.05,4.0,2.0,0.0,0.01764,0.15933,241.96615,255.52835,0.01764,4210.0,2461.0,1007.62716,251.01971,
