Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.05,3.0,2.0,0.0,0.56378,0.61678,4828.13253,12895.41966,10637.73166,0.56378,4201.0,4203.0,679.51634,5625.20872,0.0,1.0,132.01634,-570.0
600.0,0.05,4.0,2.0,0.0,0.56378,0.61678,4828.13253,12895.41966,10637.73166,0.56378,4201.0,4201.0,680.80313,5625.20872,0.0,1.0,132.01634,-570.0
600.0,0.05,5.0,2.0,0.0,0.56378,0.61678,4828.13253,12895.41966,10637.73166,0.56378,4201.0,4202.0,282.01634,5625.20872,0.0,1.0,132.01634,-570.0
600.0,0.05,6.0,2.0,0.0,0.56378,0.61678,4828.13253,12895.41966,10637.73166,0.56378,4201.0,4202.0,0.0,5625.20872,0.0,1.0,132.01634,-570.0
600.0,0.05,1.0,2.0,0.0,0.57051,0.62057,4779.31771,12891.76974,10368.59453,0.57051,4201.0,4203.0,445.58322,5536.82963,0.0,1.0,132.38322,-570.0
600.0,0.05,2.0,2.0,0.0,0.57002,0.62057,4779.31771,12876.96339,10368.59453,0.57002,4201.0,4203.0,132.38322,5536.82963,0.0,1.0,132.38322,-570.0
600.0,0.05,3.0,2.0,0.0,0.57051,0.62057,4779.31771,12891.76974,10368.59453,0.57051,4201.0,4202.0,679.88322,5536.82963,0.0,1.0,132.38322,-570.0
600.0,0.05,4.0,2.0,0.0,0.57051,0.62057,4779.31771,12891.76974,10368.59453,0.57051,4201.0,4202.0,681.17002,5536.82963,0.0,1.0,132.38322,-570.0
600.0,0.05,5.0,2.0,0.0,0.57051,0.62057,4779.31771,12891.76974,10368.59453,0.57051,4201.0,4203.0,282.38322,5536.82963,0.0,1.0,132.38322,-570.0
600.0,0.05,6.0,2.0,0.0,0.57051,0.62057,4779.31771,12891.76974,10368.59453,0.57051,4201.0,4202.0,0.0,5536.82963,0.0,1.0,132.38322,-570.0
600.0,0.05,1.0,2.0,0.0,0.57221,0.64037,4475.81273,12744.49735,10487.97779,0.57221,4201.0,4203.0,445.27242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,2.0,2.0,0.0,0.57221,0.64037,4475.81273,12744.49735,10487.97779,0.57221,4201.0,4201.0,132.07242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,3.0,2.0,0.0,0.57221,0.64037,4475.81273,12744.49735,10487.97779,0.57221,4201.0,4202.0,679.57242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,4.0,2.0,0.0,0.57221,0.64037,4475.81273,12744.49735,10487.97779,0.57221,4201.0,4202.0,680.85921,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,5.0,2.0,0.0,0.57221,0.64037,4475.81273,12744.49735,10487.97779,0.57221,4201.0,4202.0,282.07242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,6.0,2.0,0.0,0.57221,0.64037,4475.81273,12744.49735,10487.97779,0.57221,4201.0,4202.0,0.0,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,1.0,2.0,0.0,0.57348,0.62967,4637.31095,12824.67559,10427.06407,0.57348,4201.0,4202.0,445.3983,5470.01338,0.0,1.0,132.1983,-570.0
600.0,0.05,2.0,2.0,0.0,0.57348,0.62967,4637.31095,12824.67559,10427.06407,0.57348,4201.0,4202.0,132.1983,5470.01338,0.0,1.0,132.1983,-570.0
600.0,0.05,3.0,2.0,0.0,0.57348,0.62967,4637.31095,12824.67559,10427.06407,0.57348,4201.0,4201.0,679.6983,5470.01338,0.0,1.0,132.1983,-570.0
600.0,0.05,4.0,2.0,0.0,0.57348,0.62967,4637.31095,12824.67559,10427.06407,0.57348,4201.0,4201.0,680.9851,5470.01338,0.0,1.0,132.1983,-570.0
600.0,0.05,5.0,2.0,0.0,0.57348,0.62967,4637.31095,12824.67559,10427.06407,0.57348,4201.0,4202.0,282.1983,5470.01338,0.0,1.0,132.1983,-570.0
600.0,0.05,6.0,2.0,0.0,0.57348,0.62967,4637.31095,12824.67559,10427.06407,0.57348,4201.0,4201.0,0.0,5470.01338,0.0,1.0,132.1983,-570.0
600.0,0.05,1.0,2.0,0.0,0.56952,0.6218,4701.44132,12755.21855,10510.65583,0.56952,4201.0,4201.0,445.13779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,2.0,2.0,0.0,0.56952,0.6218,4701.44132,12755.21855,10510.65583,0.56952,4201.0,4202.0,131.93779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,3.0,2.0,0.0,0.56952,0.6218,4701.44132,12755.21855,10510.65583,0.56952,4201.0,4202.0,679.43779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,4.0,2.0,0.0,0.56952,0.6218,4701.44132,12755.21855,10510.65583,0.56952,4201.0,4203.0,680.72459,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,5.0,2.0,0.0,0.56952,0.6218,4701.44132,12755.21855,10510.65583,0.56952,4201.0,4202.0,281.93779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,6.0,2.0,0.0,0.56952,0.6218,4701.44132,12755.21855,10510.65583,0.56952,4201.0,4201.0,0.0,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,1.0,2.0,0.0,0.56623,0.63762,4573.72684,12910.17805,10746.68114,0.56623,4201.0,4202.0,445.00455,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,2.0,2.0,0.0,0.56623,0.63762,4573.72684,12910.17805,10746.68114,0.56623,4201.0,4202.0,131.80455,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,3.0,2.0,0.0,0.56623,0.63762,4573.72684,12910.17805,10746.68114,0.56623,4201.0,4202.0,679.30455,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,4.0,2.0,0.0,0.56623,0.63762,4573.72684,12910.17805,10746.68114,0.56623,4201.0,4202.0,680.59134,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,5.0,2.0,0.0,0.56623,0.63762,4573.72684,12910.17805,10746.68114,0.56623,4201.0,4203.0,281.80455,5599.98663,0.0,1.0,131.80455,-570.0
