Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.01,2.0,3.0,0.0,0.4746,0.49171,4740.53041,9616.2447,5305.81074,0.4746,4201.0,4209.0,0.0,5052.35086,0.0,1.0,143.50131,6.0
600.0,0.01,3.0,2.0,0.0,0.47446,0.49171,4740.53041,9613.64611,5447.21463,0.47446,4201.0,4203.0,133.00131,5052.35086,0.0,2.0,137.50131,6.0
600.0,0.01,4.0,2.0,0.0,0.47446,0.49171,4740.53041,9613.64611,5447.21463,0.47446,4201.0,4202.0,133.25867,5052.35086,0.0,2.0,137.50131,6.0
600.0,0.01,5.0,3.0,0.0,0.47322,0.49171,4740.53041,9590.9993,5492.5107,0.47322,4201.0,4210.0,50.0,5052.35086,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.4746,0.49171,4740.53041,9616.2447,5305.81074,0.4746,4201.0,4209.0,0.0,5052.35086,0.0,1.0,143.50131,6.0
600.0,0.01,1.0,2.0,0.0,0.49049,0.51315,4469.81584,9460.44735,5134.59396,0.49049,4201.0,4202.0,138.45381,4820.15045,0.0,1.0,145.41381,6.0
600.0,0.01,2.0,3.0,0.0,0.49012,0.51315,4469.81584,9453.45747,5134.59396,0.49012,4201.0,4212.0,0.0,4820.15045,0.0,1.0,145.41381,6.0
600.0,0.01,3.0,2.0,0.0,0.49012,0.51315,4469.81584,9453.45747,5134.59396,0.49012,4201.0,4203.0,134.91381,4820.15045,0.0,1.0,145.41381,6.0
600.0,0.01,4.0,2.0,0.0,0.49049,0.51315,4469.81584,9460.44735,5134.59396,0.49049,4201.0,4202.0,135.17117,4820.15045,0.0,1.0,145.41381,6.0
600.0,0.01,5.0,3.0,0.0,0.49042,0.51315,4469.81584,9459.03678,5015.03531,0.49042,4201.0,4208.0,50.0,4820.15045,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.49012,0.51315,4469.81584,9453.45747,5134.59396,0.49012,4201.0,4210.0,0.0,4820.15045,0.0,1.0,145.41381,6.0
600.0,0.01,1.0,2.0,0.0,0.47919,0.50645,4592.42195,9578.07997,5073.68297,0.47919,4201.0,4202.0,137.66611,4988.31428,0.0,1.0,144.62611,6.0
600.0,0.01,2.0,3.0,0.0,0.47919,0.50645,4592.42195,9578.07997,5073.68297,0.47919,4201.0,4209.0,0.0,4988.31428,0.0,1.0,144.62611,6.0
